Info on the massive 1146 galaxies across all haloes: 

## Largest 1146 galaxies
## from: /disk01/rad/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID    Mstar     Mgas      SFR       r         fgas   nrho      Central	|  Mhalo     HID
 0172  3.61e+07  8.09e+08  1.77e-01  2.05e+00  0.957  1.91e-09  True	|  3.84e+10  180 
 0173  1.65e+07  8.26e+08  8.54e-02  2.80e+00  0.980  1.91e-09  True	|  2.61e+10  351 
 0174  2.57e+07  8.17e+08  7.51e-02  2.43e+00  0.970  7.64e-09  True	|  2.03e+10  519 
 0175  2.50e+07  8.17e+08  3.63e-02  5.24e+00  0.970  1.34e-08  False	|  5.69e+11  1 
 0176  1.60e+07  8.25e+08  6.49e-02  4.61e+00  0.981  1.91e-09  True	|  2.27e+10  428 
 0177  1.77e+07  8.21e+08  1.09e-01  3.23e+00  0.979  1.91e-09  True	|  2.16e+10  469 
 0178  1.83e+07  8.19e+08  7.19e-02  3.32e+00  0.978  1.91e-09  True	|  2.56e+10  359 
 0179  1.22e+07  8.25e+08  1.07e-01  5.13e+00  0.985  1.91e-09  True	|  2.44e+10  386 
 0180  5.92e+07  7.78e+08  1.26e-01  3.61e+00  0.929  3.82e-09  True	|  3.30e+10  232 
 0181  4.32e+07  7.93e+08  1.55e-01  3.26e+00  0.948  3.82e-09  True	|  9.66e+10  31 
 0182  2.25e+07  8.14e+08  1.20e-01  4.80e+00  0.973  1.91e-09  True	|  3.35e+10  223 
 0183  3.00e+07  8.05e+08  3.10e-02  3.77e+00  0.964  1.91e-09  True	|  5.75e+10  88 
 0184  3.16e+07  8.01e+08  1.37e-01  2.75e+00  0.962  3.82e-09  True	|  3.97e+10  174 
 0185  5.08e+07  7.77e+08  6.95e-02  2.86e+00  0.939  3.82e-09  True	|  4.75e+10  129 
 0186  5.66e+07  7.71e+08  1.10e-01  3.66e+00  0.932  3.82e-09  True	|  7.20e+10  59 
 0187  2.02e+07  8.05e+08  5.81e-02  2.15e+00  0.976  3.82e-09  True	|  5.54e+10  95 
