
## Largest 1146 Galaxies 
## from: /mnt/ceph/users/daisyleung/simba/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID      Mstar     Mgas      MBH    fedd    SFR [Msun/yr]       r_baryon   r_gas      r_gas_half_mass      r_stellar    r_stellar_half_mass    Z_sfrWeighted [/Zsun]    Z_massWeighted     Z_stellar     T_gas_massWeighted    T_gas_SFRWeighted   fgas   nrho      Central	|  Mhalo     HID
 0062  2.61e+07  1.47e+09  0.00e+00  0.00e+00  9.85e-02  3.86e+00  3.86e+00  1.13e+00  3.55e+00  1.78e-01   0.042   0.000  0.000  1.40e+04  2.82e+04  0.983  1.91e-09  True	|  -1.00e+00  -1 
 0063  1.36e+08  1.35e+09  0.00e+00  0.00e+00  4.04e-01  5.45e+00  5.45e+00  6.77e-01  4.61e+00  3.20e-01   0.073   0.000  0.001  1.47e+04  2.55e+04  0.909  1.72e-08  False	|  -1.00e+00  -1 
 0064  5.17e+07  1.43e+09  0.00e+00  0.00e+00  9.42e-02  7.65e+00  7.65e+00  2.56e+00  1.61e+00  2.20e-01   0.062   0.000  0.001  1.15e+04  2.96e+04  0.965  5.73e-09  True	|  -1.00e+00  -1 
 0065  5.78e+07  1.42e+09  0.00e+00  0.00e+00  1.07e-01  3.32e+00  3.32e+00  1.03e+00  2.35e+00  3.46e-01   0.055   0.000  0.001  1.15e+04  2.15e+04  0.961  3.82e-09  True	|  -1.00e+00  -1 
 0066  8.39e+07  1.36e+09  0.00e+00  0.00e+00  4.59e-01  6.13e+00  6.13e+00  1.65e+00  3.87e+00  2.21e-01   0.064   0.000  0.001  1.57e+04  3.41e+04  0.942  3.82e-09  True	|  -1.00e+00  -1 
 0067  8.86e+07  1.34e+09  0.00e+00  0.00e+00  1.85e-01  3.51e+00  3.51e+00  7.77e-01  1.28e+00  3.45e-01   0.067   0.000  0.001  1.28e+04  2.30e+04  0.938  3.82e-09  True	|  -1.00e+00  -1 
 0068  4.80e+07  1.37e+09  0.00e+00  0.00e+00  1.11e-01  4.75e+00  4.75e+00  1.36e+00  4.54e+00  2.98e-01   0.055   0.000  0.000  1.27e+04  2.39e+04  0.966  3.82e-09  True	|  -1.00e+00  -1 
 0069  1.42e+08  1.27e+09  0.00e+00  0.00e+00  3.87e-01  3.46e+00  3.46e+00  6.93e-01  2.50e+00  3.77e-01   0.068   0.000  0.001  1.52e+04  2.34e+04  0.899  1.34e-08  False	|  -1.00e+00  -1 
 0070  3.90e+07  1.36e+09  0.00e+00  0.00e+00  3.37e-01  6.36e+00  6.36e+00  8.15e-01  2.29e+00  2.79e-01   0.049   0.000  0.001  1.51e+04  3.51e+04  0.972  5.73e-09  True	|  -1.00e+00  -1 
 0071  9.86e+06  1.39e+09  0.00e+00  0.00e+00  9.20e-02  4.40e+00  4.40e+00  8.53e-01  2.22e+00  3.43e-01   0.034   0.000  0.000  1.34e+04  3.55e+04  0.993  1.91e-09  True	|  -1.00e+00  -1 
 0072  3.57e+07  1.36e+09  0.00e+00  0.00e+00  1.73e-01  3.02e+00  3.02e+00  7.93e-01  1.39e+00  4.91e-01   0.045   0.000  0.001  1.55e+04  2.46e+04  0.974  3.82e-09  True	|  -1.00e+00  -1 
 0073  6.70e+07  1.32e+09  0.00e+00  0.00e+00  1.72e-01  4.73e+00  4.73e+00  1.82e+00  3.71e+00  2.91e-01   0.065   0.000  0.000  1.36e+04  2.88e+04  0.952  1.91e-09  True	|  -1.00e+00  -1 
 0074  3.54e+07  1.34e+09  0.00e+00  0.00e+00  2.06e-01  2.77e+00  2.77e+00  6.81e-01  1.01e+00  3.47e-01   0.056   0.000  0.001  1.51e+04  2.35e+04  0.974  5.73e-09  False	|  -1.00e+00  -1 
 0075  3.94e+07  1.32e+09  0.00e+00  0.00e+00  2.40e-01  4.45e+00  4.45e+00  7.84e-01  3.08e+00  2.42e-01   0.052   0.000  0.001  1.45e+04  2.78e+04  0.971  1.91e-09  True	|  -1.00e+00  -1 
 0076  9.44e+07  1.27e+09  0.00e+00  0.00e+00  5.22e-01  2.67e+00  2.67e+00  6.37e-01  1.83e+00  3.26e-01   0.064   0.000  0.001  1.71e+04  2.92e+04  0.931  1.91e-09  True	|  -1.00e+00  -1 
 0077  4.49e+07  1.31e+09  0.00e+00  0.00e+00  2.26e-01  4.83e+00  4.83e+00  1.19e+00  4.33e+00  1.09e+00   0.058   0.000  0.001  1.34e+04  2.94e+04  0.967  5.73e-09  True	|  -1.00e+00  -1 
 0078  3.12e+07  1.31e+09  0.00e+00  0.00e+00  2.39e-01  3.25e+00  3.25e+00  7.40e-01  1.87e+00  6.97e-01   0.048   0.000  0.000  1.59e+04  3.24e+04  0.977  1.91e-09  True	|  -1.00e+00  -1 
 0079  4.02e+07  1.26e+09  0.00e+00  0.00e+00  2.67e-01  4.09e+00  4.09e+00  9.44e-01  2.67e+00  2.65e-01   0.049   0.000  0.000  1.62e+04  3.28e+04  0.969  1.91e-09  True	|  -1.00e+00  -1 
 0080  5.39e+07  1.24e+09  0.00e+00  0.00e+00  1.15e-01  3.98e+00  3.98e+00  8.78e-01  1.89e+00  4.37e-01   0.060   0.000  0.001  1.23e+04  2.24e+04  0.958  9.55e-09  True	|  -1.00e+00  -1 
 0081  4.72e+07  1.25e+09  0.00e+00  0.00e+00  9.17e-02  4.67e+00  4.67e+00  9.63e-01  3.52e+00  3.59e-01   0.056   0.000  0.001  1.23e+04  2.18e+04  0.964  3.82e-09  True	|  -1.00e+00  -1 
 0082  1.18e+08  1.17e+09  0.00e+00  0.00e+00  3.06e-01  4.71e+00  4.71e+00  8.24e-01  3.74e+00  3.06e-01   0.070   0.000  0.001  1.50e+04  2.95e+04  0.908  1.91e-09  True	|  -1.00e+00  -1 
 0083  1.10e+08  1.17e+09  0.00e+00  0.00e+00  5.47e-01  3.80e+00  3.80e+00  1.22e+00  2.50e+00  2.89e-01   0.068   0.000  0.001  1.60e+04  4.51e+04  0.914  1.91e-09  True	|  -1.00e+00  -1 
 0084  3.76e+07  1.24e+09  0.00e+00  0.00e+00  2.16e-01  3.57e+00  3.57e+00  9.72e-01  2.87e+00  1.31e+00   0.049   0.000  0.001  1.51e+04  3.35e+04  0.971  5.73e-09  True	|  -1.00e+00  -1 
 0085  5.45e+07  1.22e+09  0.00e+00  0.00e+00  3.11e-01  2.83e+00  2.83e+00  8.91e-01  1.88e+00  8.44e-01   0.052   0.000  0.000  1.65e+04  2.87e+04  0.957  5.73e-09  True	|  -1.00e+00  -1 
 0086  3.35e+07  1.22e+09  0.00e+00  0.00e+00  1.47e-01  3.05e+00  3.05e+00  6.24e-01  1.35e+00  4.07e-01   0.044   0.000  0.001  1.58e+04  2.45e+04  0.973  1.91e-09  True	|  -1.00e+00  -1 
